tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,peak_search
tt2261227,tvSeries,Altered Carbon,Altered Carbon,0,2018.0,2020.0,60,"Action,Adventure,Drama",7.9,202133,100.0
tt3006802,tvSeries,Outlander,Outlander,0,2014.0,2026.0,60,"Adventure,Drama,Fantasy",8.3,200157,100.0
tt2098220,tvSeries,Hunter X Hunter,Hunter x Hunter,0,2011.0,2014.0,24,"Action,Adventure,Animation",9.0,193943,100.0
tt13146488,tvSeries,Peacemaker,Peacemaker,0,2022.0,2025.0,40,"Action,Adventure,Comedy",8.2,192775,100.0
tt5057054,tvSeries,Jack Ryan,Jack Ryan,0,2018.0,2023.0,60,"Action,Crime,Drama",8.0,192365,100.0
tt3230854,tvSeries,The Expanse,The Expanse,0,2015.0,2022.0,60,"Drama,Mystery,Sci-Fi",8.5,191646,100.0
tt4179452,tvSeries,The Last Kingdom,The Last Kingdom,0,2015.0,2022.0,60,"Action,Drama,History",8.5,188798,100.0
tt1578873,tvSeries,Pretty Little Liars,Pretty Little Liars,0,2010.0,2017.0,44,"Drama,Mystery,Romance",7.3,188417,100.0
tt2575988,tvSeries,Silicon Valley,Silicon Valley,0,2014.0,2019.0,30,Comedy,8.5,181813,100.0
tt13016388,tvSeries,3 Body Problem,3 Body Problem,0,2024.0,,60,"Adventure,Drama,Fantasy",7.5,180116,100.0
tt1567432,tvSeries,Teen Wolf,Teen Wolf,0,2011.0,2017.0,41,"Action,Drama,Fantasy",7.7,178758,100.0
tt3205802,tvSeries,How to Get Away with Murder,How to Get Away with Murder,0,2014.0,2020.0,45,"Crime,Drama,Mystery",8.1,178567,100.0
tt9813792,tvSeries,From,From,0,2022.0,,52,"Drama,Horror,Mystery",7.8,178137,100.0
tt1865718,tvSeries,Gravity Falls,Gravity Falls,0,2012.0,2016.0,23,"Adventure,Animation,Comedy",8.9,177854,100.0
tt13210838,tvSeries,The Gentlemen,The Gentlemen,0,2024.0,,50,"Action,Comedy,Crime",8.0,177679,100.0
tt5555260,tvSeries,This Is Us,This Is Us,0,2016.0,2022.0,45,"Comedy,Drama,Romance",8.7,174193,100.0
tt3526078,tvSeries,Schitt's Creek,Schitt$ Creek,0,2015.0,2020.0,22,Comedy,8.5,173121,100.0
tt2431438,tvSeries,Sense8,Sense8,0,2015.0,2018.0,60,"Drama,Mystery,Sci-Fi",8.2,171424,100.0
tt7493974,tvSeries,Bodyguard,Bodyguard,0,2018.0,2018.0,60,"Crime,Drama,Mystery",8.0,170214,100.0
tt14403178,tvSeries,Beef,Beef,0,2023.0,,30,"Comedy,Drama",8.0,169340,100.0
tt8398600,tvSeries,After Life,After Life,0,2019.0,2022.0,30,"Comedy,Drama",8.4,168863,100.0
tt5420376,tvSeries,Riverdale,Riverdale,0,2017.0,2023.0,45,"Crime,Drama,Mystery",6.4,165682,100.0
tt7462410,tvSeries,The Wheel of Time,The Wheel of Time,0,2021.0,2025.0,60,"Action,Adventure,Drama",7.2,164012,100.0
tt1474684,tvSeries,Luther,Luther,0,2010.0,2019.0,60,"Crime,Drama,Mystery",8.4,163667,100.0
tt3647998,tvSeries,Taboo,Taboo,0,2017.0,2017.0,60,"Drama,Mystery,Thriller",8.3,162984,100.0
tt2632424,tvSeries,The Originals,The Originals,0,2013.0,2018.0,45,"Drama,Fantasy,Horror",8.2,160528,100.0
tt13918776,tvSeries,The Night Agent,The Night Agent,0,2023.0,,45,"Action,Drama,Thriller",7.4,160398,100.0
tt10168312,tvSeries,What If...?,What If...?,0,2021.0,2024.0,32,"Action,Adventure,Animation",7.3,160136,100.0
tt2531336,tvSeries,Lupin,Lupin,0,2021.0,,45,"Action,Crime,Drama",7.5,158325,100.0
tt5788792,tvSeries,The Marvelous Mrs. Maisel,The Marvelous Mrs. Maisel,0,2017.0,2023.0,60,"Comedy,Drama",8.6,157978,100.0
tt3743822,tvSeries,Fear the Walking Dead,Fear the Walking Dead,0,2015.0,2023.0,44,"Drama,Horror,Sci-Fi",6.8,153864,100.0
tt7016936,tvSeries,Killing Eve,Killing Eve,0,2018.0,2022.0,42,"Action,Adventure,Drama",8.1,153499,100.0
tt6048596,tvSeries,The Sinner,The Sinner,0,2017.0,2021.0,45,"Crime,Drama,Mystery",7.8,152058,100.0
tt1695360,tvSeries,The Legend of Korra,The Legend of Korra,0,2012.0,2014.0,23,"Action,Adventure,Animation",8.3,150701,100.0
tt22202452,tvSeries,Pluribus,Pluribus,0,2025.0,,60,"Drama,Sci-Fi",8.0,150105,100.0
tt7203552,tvSeries,The Morning Show,The Morning Show,0,2019.0,,60,Drama,8.1,150085,100.0
tt13159924,tvSeries,Gen V,Gen V,0,2023.0,2025.0,50,"Action,Adventure,Comedy",7.6,149420,100.0
tt3322310,tvSeries,Iron Fist,Iron Fist,0,2017.0,2018.0,60,"Action,Adventure,Crime",6.4,148898,100.0
tt3322314,tvSeries,Luke Cage,Luke Cage,0,2016.0,2018.0,60,"Action,Crime,Drama",7.2,148190,100.0
tt10795658,tvSeries,Alice in Borderland,Imawa no Kuni no Arisu,0,2020.0,2025.0,50,"Action,Drama,Horror",7.8,146889,100.0
tt5875444,tvSeries,Slow Horses,Slow Horses,0,2022.0,,50,"Drama,Thriller",8.3,146701,100.0
tt6226232,tvSeries,Young Sheldon,Young Sheldon,0,2017.0,2024.0,30,Comedy,7.7,146653,100.0
tt2017109,tvSeries,Banshee,Banshee,0,2013.0,2016.0,60,"Action,Crime,Drama",8.4,146517,100.0
tt5171438,tvSeries,Star Trek: Discovery,Star Trek: Discovery,0,2017.0,2024.0,60,"Action,Adventure,Drama",6.9,146010,100.0
tt31938062,tvSeries,The Pitt,The Pitt,0,2025.0,,50,Drama,8.9,145295,100.0
tt12262202,tvSeries,The Acolyte,The Acolyte,0,2024.0,2024.0,40,"Action,Adventure,Fantasy",4.3,142735,100.0
tt5348176,tvSeries,Barry,Barry,0,2018.0,2023.0,30,"Action,Comedy,Crime",8.3,142459,100.0
tt8962124,tvSeries,Emily in Paris,Emily in Paris,0,2020.0,,30,"Comedy,Drama,Romance",6.8,142264,100.0
tt2249364,tvSeries,Broadchurch,Broadchurch,0,2013.0,2017.0,48,"Crime,Drama,Mystery",8.3,141799,100.0
tt33043892,tvSeries,Dexter: Resurrection,Dexter: Resurrection,0,2025.0,,50,"Crime,Drama,Thriller",9.0,141477,100.0
tt13622776,tvSeries,Ahsoka,Ahsoka,0,2023.0,,50,"Action,Adventure,Fantasy",7.4,140677,100.0
tt1830617,tvSeries,Grimm,Grimm,0,2011.0,2017.0,45,"Action,Adventure,Crime",7.9,140484,100.0
tt2628232,tvSeries,Penny Dreadful,Penny Dreadful,0,2014.0,2016.0,60,"Drama,Fantasy,Horror",8.2,139434,100.0
tt1399664,tvSeries,The Night Manager,The Night Manager,0,2016.0,,60,"Crime,Drama,Mystery",8.0,137709,100.0
tt10233448,tvSeries,Vinland Saga,Vinland Saga,0,2019.0,2023.0,24,"Action,Adventure,Animation",8.8,137294,100.0
tt1870479,tvSeries,The Newsroom,The Newsroom,0,2012.0,2014.0,60,Drama,8.6,134924,100.0
tt4016454,tvSeries,Supergirl,Supergirl,0,2015.0,2021.0,43,"Action,Adventure,Drama",6.2,134768,100.0
tt1637727,tvSeries,The Killing,The Killing,0,2011.0,2014.0,45,"Crime,Drama,Mystery",8.3,133784,100.0
tt1305826,tvSeries,Adventure Time,Adventure Time,0,2010.0,2018.0,23,"Action,Adventure,Animation",8.6,132882,100.0
tt2294189,tvSeries,The Fall,The Fall,0,2013.0,2016.0,60,"Crime,Drama,Thriller",8.1,131830,100.0
tt24053860,tvSeries,The Day of the Jackal,The Day of the Jackal,0,2024.0,,,"Action,Crime,Drama",8.1,131008,100.0
tt1489428,tvSeries,Justified,Justified,0,2010.0,2015.0,45,"Action,Crime,Drama",8.6,130593,100.0
tt2699128,tvSeries,The Leftovers,The Leftovers,0,2014.0,2017.0,60,"Drama,Fantasy,Mystery",8.3,130384,100.0
tt6470478,tvSeries,The Good Doctor,The Good Doctor,0,2017.0,2024.0,45,Drama,8.0,130072,100.0
tt1837642,tvSeries,Revenge,Revenge,0,2011.0,2015.0,44,"Drama,Mystery,Thriller",7.8,129439,100.0
tt11743610,tvSeries,The Terminal List,The Terminal List,0,2022.0,,60,"Action,Drama,Thriller",7.9,127276,100.0
tt4635282,tvSeries,The OA,The OA,0,2016.0,2019.0,60,"Drama,Fantasy,Mystery",7.8,127005,100.0
tt2191671,tvSeries,Elementary,Elementary,0,2012.0,2019.0,60,"Action,Adventure,Crime",7.9,126657,100.0
tt7587890,tvSeries,The Rookie,The Rookie,0,2018.0,,43,"Action,Crime,Drama",8.0,126501,100.0
tt7908628,tvSeries,What We Do in the Shadows,What We Do in the Shadows,0,2019.0,2024.0,30,"Comedy,Fantasy,Horror",8.5,126471,100.0
tt14650074,tvSeries,Dhindora,Dhindora,0,2021.0,,25,"Comedy,Drama",8.8,126395,100.0
tt0804484,tvSeries,Foundation,Foundation,0,2021.0,,60,"Drama,Sci-Fi",7.6,126058,100.0
tt2188671,tvSeries,Bates Motel,Bates Motel,0,2013.0,2017.0,45,"Drama,Horror,Mystery",8.1,125583,100.0
tt2375692,tvSeries,Black Sails,Black Sails,0,2014.0,2017.0,60,"Action,Adventure,Drama",8.2,125532,100.0
tt12590266,tvSeries,Cyberpunk: Edgerunners,Cyberpunk: Edgerunners,0,2022.0,,24,"Action,Adventure,Animation",8.3,125491,100.0
tt2234222,tvSeries,Orphan Black,Orphan Black,0,2013.0,2017.0,44,"Drama,Sci-Fi,Thriller",8.3,124729,100.0
tt2403776,tvSeries,Shadow and Bone,Shadow and Bone,0,2021.0,2023.0,60,"Action,Adventure,Drama",7.5,124613,100.0
tt1740299,tvSeries,The Man in the High Castle,The Man in the High Castle,0,2015.0,2019.0,60,"Drama,Sci-Fi,Thriller",7.9,123785,100.0
tt2149175,tvSeries,The Americans,The Americans,0,2013.0,2018.0,44,"Crime,Drama,Mystery",8.4,123611,100.0
tt1869454,tvSeries,Good Omens,Good Omens,0,2019.0,2026.0,55,"Comedy,Drama,Fantasy",8.0,123454,100.0
tt9319668,tvSeries,1899,1899,0,2022.0,2022.0,60,"Adventure,Drama,Thriller",7.3,123044,100.0
tt15677150,tvSeries,Shrinking,Shrinking,0,2023.0,,33,"Comedy,Drama",8.1,122538,100.0
tt1043813,tvSeries,Titans,Titans,0,2018.0,2023.0,45,"Action,Adventure,Crime",7.4,119525,100.0
tt5626028,tvSeries,My Hero Academia,Boku no Hîrô Akademia,0,2016.0,2026.0,24,"Action,Adventure,Animation",8.2,119499,100.0
tt7569592,tvSeries,Chilling Adventures of Sabrina,Chilling Adventures of Sabrina,0,2018.0,2020.0,60,"Drama,Fantasy,Horror",7.4,118855,100.0
tt1553656,tvSeries,Under the Dome,Under the Dome,0,2013.0,2015.0,43,"Drama,Mystery,Sci-Fi",6.5,118639,100.0
tt4270492,tvSeries,Billions,Billions,0,2016.0,2023.0,60,Drama,8.3,117854,100.0
tt16358384,tvSeries,Tulsa King,Tulsa King,0,2022.0,,40,"Action,Crime,Drama",7.9,117310,100.0
tt12004706,tvSeries,Panchayat,Panchayat,0,2020.0,,,"Comedy,Drama",9.0,117036,100.0
tt14954666,tvSeries,The Idol,The Idol,0,2023.0,2023.0,60,"Drama,Music",4.4,116352,100.0
tt7520794,tvSeries,Russian Doll,Russian Doll,0,2019.0,2022.0,30,"Comedy,Drama,Mystery",7.7,116160,100.0
tt5296406,tvSeries,Designated Survivor,Designated Survivor,0,2016.0,2019.0,60,"Action,Drama,Mystery",7.4,115257,100.0
tt11041332,tvSeries,Yellowjackets,Yellowjackets,0,2021.0,,60,"Drama,Horror,Mystery",7.7,114692,100.0
tt1845307,tvSeries,2 Broke Girls,2 Broke Girls,0,2011.0,2017.0,22,Comedy,6.7,114593,100.0
tt4532368,tvSeries,Legends of Tomorrow,Legends of Tomorrow,0,2016.0,2022.0,42,"Action,Adventure,Drama",6.7,114537,100.0
tt6315640,tvSeries,Atypical,Atypical,0,2017.0,2021.0,30,"Comedy,Drama",8.2,113742,100.0
